Trend, Season, Episode, Title, Year, Total Votes, Average Rating
1,5,9,Black Dog,2002,587,7.7
1,5,10,The Crunge,2002,581,7.6
1,5,11,The Girl I Love,2003,574,7.4
1,5,12,Misty Mountain Hop,2003,629,8.0
2,5,13,Your Time Is Gonna Come,2003,592,7.6
2,5,14,Babe I'm Gonna Leave You,2003,588,7.6
2,5,15,When the Levee Breaks,2003,571,7.6
1,5,16,Whole Lotta Love,2003,572,7.6
1,5,17,The Battle of Evermore,2003,588,7.5
1,5,18,Hey Hey What Can I Do,2003,572,7.7
2,5,19,Bring It on Home,2003,577,7.5
1,5,20,No Quarter,2003,562,7.4
2,5,21,Trampled Under Foot,2003,561,7.4
1,5,22,You Shook Me,2003,590,8.1
1,5,23,Nobody's Fault But Mine,2003,558,7.6
-,5,24,Immigrant Song,2003,582,7.9
-,5,25,Celebration Day,2003,620,8.2
1,6,1,The Kids Are Alright,2003,611,7.6
1,6,2,Join Together,2003,558,7.5
-,6,3,Magic Bus,2003,569,7.7
1,6,4,The Acid Queen,2003,568,7.6
1,6,5,I'm Free,2003,559,7.4
1,6,6,We're Not Gonna Take It,2003,550,7.6
1,6,7,Christmas,2003,572,7.6
1,6,8,I'm a Boy,2004,554,7.4
1,6,9,Young Man Blues,2004,567,7.7
1,6,10,A Legal Matter,2004,547,7.6
1,6,11,I Can See for Miles,2004,543,7.4
1,6,12,Sally Simpson,2004,576,7.4
1,6,13,Won't Get Fooled Again,2004,549,7.4
1,6,14,Baby Don't You Do It,2004,559,7.6
1,6,15,Who Are You,2004,544,7.3
-,6,16,Man with Money,2004,541,7.7
1,6,17,Happy Jack,2004,551,7.7
1,6,18,Do You Think It's Alright?,2004,516,7.4
1,6,19,Substitute,2004,519,7.2
-,6,20,Squeeze Box,2004,548,7.7
1,6,21,5:15,2004,534,7.3
-,6,22,Sparks,2004,547,8.0
1,6,23,My Wife,2004,516,7.4
1,6,24,Going Mobile,2004,511,7.4
1,6,25,The Seeker,2004,520,7.6
1,7,1,Time Is on My Side,2004,533,7.4
1,7,2,Let's Spend the Night Together,2004,522,7.4
1,7,3,(I Can't Get No) Satisfaction,2004,512,7.3
1,7,4,Beast of Burden,2004,508,7.3
1,7,5,It's Only Rock and Roll,2004,499,7.1
1,7,6,Rip This Joint,2004,503,7.2
1,7,7,Mother's Little Helper,2004,591,7.4
1,7,8,Angie,2004,538,7.3
1,7,9,You Can't Always Get What You Want,2004,524,7.3
1,7,10,Surprise Surprise,2004,516,7.5
1,7,11,Winter,2004,510,7.5
1,7,12,Don't Lie to Me,2005,542,7.2
1,7,13,Can't You Hear Me Knocking,2005,582,8.0
1,7,14,Street Fighting Man,2005,538,7.9
1,7,15,It's All Over Now,2005,544,7.4
1,7,16,On with the Show,2005,505,7.1
1,7,17,Down the Road Apiece,2005,502,7.3
1,7,18,Oh Baby We Got a Good Thing Goin',2005,500,7.1
1,7,19,Who's Been Sleeping Here?,2005,485,7.2
1,7,20,Gimme Shelter,2005,489,7.3
1,7,21,2120 So. Michigan Ave,2005,511,7.3
1,7,22,2000 Light Years from Home,2005,504,7.2
1,7,23,Take It or Leave It,2005,503,7.2
1,7,24,Short and Curlies,2005,519,7.6
1,7,25,Till the Next Goodbye,2005,604,8.1
1,8,1,Bohemian Rhapsody,2005,603,7.3
1,8,2,Somebody to Love,2005,557,6.7
1,8,3,You're My Best Friend,2005,551,6.4
1,8,4,Misfire,2005,576,7.0
1,8,5,Stone Cold Crazy,2005,546,7.0
1,8,6,Long Away,2005,516,6.6
1,8,7,Fun It,2005,537,6.8
1,8,8,Good Company,2006,502,6.6
1,8,9,Who Needs You,2006,504,6.4
1,8,10,Sweet Lady,2006,515,6.3
1,8,11,Good Old Fashioned Lover Boy,2006,492,6.4
1,8,12,Killer Queen,2006,497,6.5
1,8,13,Spread Your Wings,2006,500,6.4
1,8,14,Son and Daughter,2006,490,6.5
1,8,15,Keep Yourself Alive,2006,491,6.4
1,8,16,My Fairy King,2006,494,6.6
1,8,17,Crazy Little Thing Called Love,2006,490,6.5
1,8,18,We Will Rock You,2006,519,6.6
2,8,19,Sheer Heart Attack,2006,502,6.5
1,8,20,Leaving Home Ain't Easy,2006,489,6.5
1,8,21,Love of My Life,2006,595,7.4
-,8,22,That '70s Finale,2006,1432,8.9
